osm_id,ags,ort,plz,landkreis,bundesland
1104550,08335001,Aach,78267,Landkreis Konstanz,Baden-Württemberg
1255910,07235001,Aach,54298,Landkreis Trier-Saarburg,Rheinland-Pfalz
62564,05334002,Aachen,52062,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52064,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52066,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52068,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52070,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52072,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52074,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52076,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52078,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52080,Städteregion Aachen,Nordrhein-Westfalen
915486,08136088,Aalen,73430,Ostalbkreis,Baden-Württemberg
915486,08136088,Aalen,73431,Ostalbkreis,Baden-Württemberg
915486,08136088,Aalen,73432,Ostalbkreis,Baden-Württemberg
915486,08136088,Aalen,73433,Ostalbkreis,Baden-Württemberg
915486,08136088,Aalen,73434,Ostalbkreis,Baden-Württemberg
413109,06439001,Aarbergen,65326,Rheingau-Taunus-Kreis,Hessen
448770,01061001,Aasbüttel,25560,Kreis Steinburg,Schleswig-Holstein
158409,09576111,Abenberg,91183,Landkreis Roth,Bayern
956651,09273111,Abensberg,93326,Landkreis Kelheim,Bayern
1244276,07134001,Abentheuer,55767,Landkreis Birkenfeld,Rheinland-Pfalz
1015097,09577111,Absberg,91720,Landkreis Weißenburg-Gunzenhausen,Bayern
410485,08125001,Abstatt,74232,Landkreis Heilbronn,Baden-Württemberg
2389084,16065001,Abtsbessingen,99713,Kyffhäuserkreis,Thüringen
915445,08136002,Abtsgmünd,73453,Ostalbkreis,Baden-Württemberg
537061,06431001,Abtsteinach,69518,Kreis Bergstraße,Hessen
283691,09675111,Abtswind,97355,Landkreis Kitzingen,Bayern
1244067,07133001,Abtweiler,55568,Landkreis Bad Kreuznach,Rheinland-Pfalz
